InvoiceApprovalDate,SalesOrderId,CustomerId,Remarks,InvoiceAmount,FullyPaid,PartlyPaid,Transactions,AmountPaid,AmountDue,PaidPercent,LastPaymentDate,DaysToPay,PaidInvoice,TransacRecords,PaidInvoicesNo,PaidInvoicesTotal,LatePaidInvoicesNo,LatePaidInvoicesTotal,LateInvoiceAmounts,TotalDaysPaidLate,NoOutstandingInvoices,NoLateOutstandingInvoices,OutstandingTotal,LateOutstandingTotal,LateOutstandingAmounts,TotalDaysLateOutstanding,RatioPaidLate,RatioPaidLateSum,RatioOutstandingLate,RatioOutstandingLateSum,label
2021-04-23,516257d4-606d-4ffb-8664-5dd39404ce8c,01eb0dd4-99ac-413d-e76d-08d8540dc0ba,,1084425.0,False,True,"[[Timestamp('2021-04-23 00:00:00'), 950000.0], [Timestamp('2021-04-26 00:00:00'), 134000.0]]",1084000.0,425.0,99.96080872351708,2021-04-26,3,1,"[[Timestamp('2021-01-13 00:00:00'), 546900.0, 100.0, Timestamp('2021-01-13 00:00:00'), 0], [Timestamp('2021-02-09 00:00:00'), 920000.0, 100.0, Timestamp('2021-02-09 00:00:00'), 0], [Timestamp('2021-02-11 00:00:00'), 756675.0, 100.0, Timestamp('2021-03-10 00:00:00'), 27], [Timestamp('2021-02-16 00:00:00'), 680625.0, 99.91551882460972, Timestamp('2021-03-19 00:00:00'), 31], [Timestamp('2021-03-10 00:00:00'), 920000.0, 100.0, Timestamp('2021-04-30 00:00:00'), 51], [Timestamp('2021-03-12 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-12 00:00:00'), 0], [Timestamp('2021-03-19 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-19 00:00:00'), 0], [Timestamp('2021-03-31 00:00:00'), 489900.0, 100.0, Timestamp('2021-03-31 00:00:00'), 0], [Timestamp('2021-04-13 00:00:00'), 420000.0, 100.0, Timestamp('2021-04-13 00:00:00'), 0], [Timestamp('2021-04-21 00:00:00'), 1050000.0, 100.0, Timestamp('2021-04-21 00:00:00'), 0], [Timestamp('2021-04-23 00:00:00'), 1084425.0, 99.96080872351708, Timestamp('2021-04-26 00:00:00'), 3]]",10,6511625.0,1,680625.0,[680625.0],31,1,1,920000.0,920000.0,[920000.0],44,0.1,0.1045246002341965,1.0,1.0,0-30
2021-03-15,7d2d39d9-1c9f-4f57-b314-082d32043fdb,024b1e5a-133c-4e8b-b0c4-fcf06c4f00f0,Kindly approve,420000.0,True,False,"[[Timestamp('2021-03-15 00:00:00'), 420000.0]]",420000.0,0.0,100.0,2021-03-15,0,-1,"[[Timestamp('2021-03-15 00:00:00'), 420000.0, 100.0, Timestamp('2021-03-15 00:00:00'), 0]]",0,0.0,0,0.0,,0,0,0,0.0,0.0,,0,,,,,
2021-02-04,02fca9ab-5c86-4a99-af68-8fa370fb0512,03641347-d213-40f4-9eaf-68c574d262c9,,420000.0,True,False,"[[Timestamp('2021-02-04 00:00:00'), 420000.0]]",420000.0,0.0,100.0,2021-02-04,0,-1,"[[Timestamp('2021-02-04 00:00:00'), 420000.0, 100.0, Timestamp('2021-02-04 00:00:00'), 0], [Timestamp('2021-04-12 00:00:00'), 420000.0, 100.0, Timestamp('2021-04-12 00:00:00'), 0]]",0,0.0,0,0.0,,0,0,0,0.0,0.0,,0,,,,,
2021-04-12,2388e476-798d-45f7-97b3-780c9810f9fb,03641347-d213-40f4-9eaf-68c574d262c9,,420000.0,True,False,"[[Timestamp('2021-04-12 00:00:00'), 420000.0]]",420000.0,0.0,100.0,2021-04-12,0,1,"[[Timestamp('2021-02-04 00:00:00'), 420000.0, 100.0, Timestamp('2021-02-04 00:00:00'), 0], [Timestamp('2021-04-12 00:00:00'), 420000.0, 100.0, Timestamp('2021-04-12 00:00:00'), 0]]",1,420000.0,0,0.0,,0,0,0,0.0,0.0,,0,0.0,0.0,,,
2021-02-25,062dc3dc-fc9a-4a07-9b5d-c06e36d59195,05b81361-9a23-4427-77de-08d8d1983514,Kindly approve Sir,75000.0,True,False,"[[Timestamp('2021-02-25 00:00:00'), 75000.0]]",75000.0,0.0,100.0,2021-02-25,0,-1,"[[Timestamp('2021-02-25 00:00:00'), 75000.0, 100.0, Timestamp('2021-02-25 00:00:00'), 0]]",0,0.0,0,0.0,,0,0,0,0.0,0.0,,0,,,,,
2021-01-12,16ce3be4-7b6b-46cf-ae8a-080cf74b3d31,06232d7b-7cbd-4e16-8333-eb4d31a7f6a7,,1300000.0,True,False,"[[Timestamp('2021-01-12 00:00:00'), 1300000.0]]",1300000.0,0.0,100.0,2021-01-12,0,-1,"[[Timestamp('2021-01-12 00:00:00'), 1300000.0, 100.0, Timestamp('2021-01-12 00:00:00'), 0]]",0,0.0,0,0.0,,0,0,0,0.0,0.0,,0,,,,,
2021-01-15,4a763f8e-c003-4dee-b19f-52a22a17b7a9,067ae4d5-f26c-4c34-b290-7c57d2f6bc88,,70500.0,True,False,"[[Timestamp('2021-01-15 00:00:00'), 70500.0]]",70500.0,0.0,100.0,2021-01-15,0,-1,"[[Timestamp('2021-01-15 00:00:00'), 70500.0, 100.0, Timestamp('2021-01-15 00:00:00'), 0], [Timestamp('2021-01-15 00:00:00'), 37500.0, 100.0, Timestamp('2021-01-15 00:00:00'), 0], [Timestamp('2021-01-15 00:00:00'), 70500.0, 100.0, Timestamp('2021-01-15 00:00:00'), 0]]",0,0.0,0,0.0,,0,0,0,0.0,0.0,,0,,,,,
2021-01-15,6ebb6f2f-d8e8-4354-b021-d263324f9d34,067ae4d5-f26c-4c34-b290-7c57d2f6bc88,,37500.0,True,False,"[[Timestamp('2021-01-15 00:00:00'), 37500.0]]",37500.0,0.0,100.0,2021-01-15,0,-1,"[[Timestamp('2021-01-15 00:00:00'), 70500.0, 100.0, Timestamp('2021-01-15 00:00:00'), 0], [Timestamp('2021-01-15 00:00:00'), 37500.0, 100.0, Timestamp('2021-01-15 00:00:00'), 0], [Timestamp('2021-01-15 00:00:00'), 70500.0, 100.0, Timestamp('2021-01-15 00:00:00'), 0]]",0,0.0,0,0.0,,0,0,0,0.0,0.0,,0,,,,,
2021-01-15,b2d29838-5c74-4370-ad3b-1846b6552b9f,067ae4d5-f26c-4c34-b290-7c57d2f6bc88,,70500.0,True,False,"[[Timestamp('2021-01-15 00:00:00'), 70500.0]]",70500.0,0.0,100.0,2021-01-15,0,-1,"[[Timestamp('2021-01-15 00:00:00'), 70500.0, 100.0, Timestamp('2021-01-15 00:00:00'), 0], [Timestamp('2021-01-15 00:00:00'), 37500.0, 100.0, Timestamp('2021-01-15 00:00:00'), 0], [Timestamp('2021-01-15 00:00:00'), 70500.0, 100.0, Timestamp('2021-01-15 00:00:00'), 0]]",0,0.0,0,0.0,,0,0,0,0.0,0.0,,0,,,,,
2021-02-19,bc29f8e6-cf8b-4c8b-af2d-62c35191394d,06dd3769-6754-4fce-8e62-577aef343d70,,670035.0,False,True,"[[Timestamp('2021-02-19 00:00:00'), 670000.0]]",670000.0,35.0,99.994776392278,2021-02-19,0,-1,"[[Timestamp('2021-02-19 00:00:00'), 670035.0, 99.994776392278, Timestamp('2021-02-19 00:00:00'), 0], [Timestamp('2021-03-12 00:00:00'), 680448.6, 99.9928576530248, Timestamp('2021-03-12 00:00:00'), 0], [Timestamp('2021-04-08 00:00:00'), 840060.0, 99.9928576530248, Timestamp('2021-04-08 00:00:00'), 0], [Timestamp('2021-04-30 00:00:00'), 250005.0, 99.9980000399992, Timestamp('2021-04-30 00:00:00'), 0]]",0,0.0,0,0.0,,0,0,0,0.0,0.0,,0,,,,,
2021-03-12,e2e4e963-6d0d-4747-b810-aa60fd7cda52,06dd3769-6754-4fce-8e62-577aef343d70,,680448.6,False,True,"[[Timestamp('2021-03-12 00:00:00'), 680400.0]]",680400.0,48.59999999997672,99.9928576530248,2021-03-12,0,1,"[[Timestamp('2021-02-19 00:00:00'), 670035.0, 99.994776392278, Timestamp('2021-02-19 00:00:00'), 0], [Timestamp('2021-03-12 00:00:00'), 680448.6, 99.9928576530248, Timestamp('2021-03-12 00:00:00'), 0], [Timestamp('2021-04-08 00:00:00'), 840060.0, 99.9928576530248, Timestamp('2021-04-08 00:00:00'), 0], [Timestamp('2021-04-30 00:00:00'), 250005.0, 99.9980000399992, Timestamp('2021-04-30 00:00:00'), 0]]",1,670035.0,0,0.0,,0,0,0,0.0,0.0,,0,0.0,0.0,,,
2021-04-08,a3d6a3f3-728c-4ac3-8aac-b28e8fb92a0a,06dd3769-6754-4fce-8e62-577aef343d70,,840060.0,False,True,"[[Timestamp('2021-04-08 00:00:00'), 840000.0]]",840000.0,60.0,99.9928576530248,2021-04-08,0,1,"[[Timestamp('2021-02-19 00:00:00'), 670035.0, 99.994776392278, Timestamp('2021-02-19 00:00:00'), 0], [Timestamp('2021-03-12 00:00:00'), 680448.6, 99.9928576530248, Timestamp('2021-03-12 00:00:00'), 0], [Timestamp('2021-04-08 00:00:00'), 840060.0, 99.9928576530248, Timestamp('2021-04-08 00:00:00'), 0], [Timestamp('2021-04-30 00:00:00'), 250005.0, 99.9980000399992, Timestamp('2021-04-30 00:00:00'), 0]]",2,1350483.6,0,0.0,,0,0,0,0.0,0.0,,0,0.0,0.0,,,
2021-04-30,fab75abe-32be-47ee-850c-e470856c4a29,06dd3769-6754-4fce-8e62-577aef343d70,,250005.0,False,True,"[[Timestamp('2021-04-30 00:00:00'), 250000.0]]",250000.0,5.0,99.9980000399992,2021-04-30,0,1,"[[Timestamp('2021-02-19 00:00:00'), 670035.0, 99.994776392278, Timestamp('2021-02-19 00:00:00'), 0], [Timestamp('2021-03-12 00:00:00'), 680448.6, 99.9928576530248, Timestamp('2021-03-12 00:00:00'), 0], [Timestamp('2021-04-08 00:00:00'), 840060.0, 99.9928576530248, Timestamp('2021-04-08 00:00:00'), 0], [Timestamp('2021-04-30 00:00:00'), 250005.0, 99.9980000399992, Timestamp('2021-04-30 00:00:00'), 0]]",3,2190543.6,0,0.0,,0,0,0,0.0,0.0,,0,0.0,0.0,,,
2021-01-12,3504da0c-424e-47b9-9269-e30204e7b44c,07ef8296-82b6-43b9-b44e-016416fa8177,,126000.0,True,False,"[[Timestamp('2021-01-12 00:00:00'), 28500.0], [Timestamp('2021-03-26 00:00:00'), 97500.0]]",126000.0,0.0,100.0,2021-03-26,73,-1,"[[Timestamp('2021-01-12 00:00:00'), 126000.0, 100.0, Timestamp('2021-03-26 00:00:00'), 73], [Timestamp('2021-03-26 00:00:00'), 500000.0, 100.0, Timestamp('2021-03-26 00:00:00'), 0], [Timestamp('2021-03-26 00:00:00'), 438750.0, 100.0, Timestamp('2021-03-26 00:00:00'), 0]]",0,0.0,0,0.0,,0,0,0,0.0,0.0,,0,,,,,61-90
